artifact,path,rows,purpose,size_bytes,status
forecast_viewer_model_outputs_v2_full.csv,V6/outputs/v6_17_full_multimetric_productive_artifact_generation/forecast_viewer_model_outputs_v2_full.csv,2416050,Full Viewer contract CSV,689512463,PASS
forecast_forward_outputs_v6_17_full.csv,V6/outputs/v6_17_full_multimetric_productive_artifact_generation/forecast_forward_outputs_v6_17_full.csv,818980,Full locally available Forecast CSV,255243976,PASS
v6_17_viewer_dropdown_metadata.csv,V6/outputs/v6_17_full_multimetric_productive_artifact_generation/v6_17_viewer_dropdown_metadata.csv,596,Viewer cascade metadata,30897,PASS
v6_17_forecast_dropdown_metadata.csv,V6/outputs/v6_17_full_multimetric_productive_artifact_generation/v6_17_forecast_dropdown_metadata.csv,896,Forecast cascade metadata,54371,PASS
v6_17_model_metadata.csv,V6/outputs/v6_17_full_multimetric_productive_artifact_generation/v6_17_model_metadata.csv,15,Verified Viewer model metadata,2490,PASS
v6_17_blocked_or_deferred_scope.csv,V6/outputs/v6_17_full_multimetric_productive_artifact_generation/v6_17_blocked_or_deferred_scope.csv,8,Unavailable governed scope register,1578,BLOCKED_SCOPE
forecast_viewer_model_outputs_v2_full.parquet,V6/outputs/v6_17_full_multimetric_productive_artifact_generation/forecast_viewer_model_outputs_v2_full.parquet,2416050,Lazy productive Viewer storage,14280896,PASS
forecast_forward_outputs_v6_17_full.parquet,V6/outputs/v6_17_full_multimetric_productive_artifact_generation/forecast_forward_outputs_v6_17_full.parquet,818980,Lazy productive Forecast storage,6210430,PASS
