model_name,entities,official_median_mase,official_median_rmsse,pairwise_comparisons,pairwise_supported_count,pairwise_unsupported_count,pairwise_inconclusive_count,pct_entities_beating_naive,pct_windows_beating_naive,pct_entities_high_risk,pct_windows_high_risk,created_timestamp
ARIMA_Fixed,39,1.0,1.0014714168859882,6,1,0,5,0.4615384615384615,0.4559471365638766,0.7435897435897436,0.118942731277533,2026-06-12T14:04:41
ETS_Current,39,0.9129746369160472,0.9218729432951146,6,2,0,4,0.6410256410256411,0.5616740088105727,0.5128205128205128,0.0594713656387665,2026-06-12T14:04:41
FixedGrowth_1_5,39,0.8326506190255617,0.8474011779050874,6,3,0,3,0.7692307692307693,0.6938325991189427,0.3846153846153846,0.0418502202643171,2026-06-12T14:04:41
FixedGrowth_3,39,0.9747600005890024,1.0078437995509195,6,2,2,2,0.5384615384615384,0.5154185022026432,0.4871794871794871,0.0770925110132158,2026-06-12T14:04:41
FixedGrowth_4,39,1.2044639305181637,1.1910702571893772,6,1,4,1,0.3333333333333333,0.4295154185022026,0.6923076923076923,0.1211453744493392,2026-06-12T14:04:41
FixedGrowth_6,39,2.097055525734872,2.0202639032406617,6,0,6,0,0.1794871794871795,0.3105726872246696,0.7435897435897436,0.1740088105726872,2026-06-12T14:04:41
LinearRegression,39,0.8960079501178467,0.9243185244188332,6,3,0,3,0.5897435897435898,0.5506607929515418,0.5897435897435898,0.0991189427312775,2026-06-12T14:04:41
