series_key,model_name,horizon,metric_name,legacy_value,new_value,abs_difference,within_tolerance
AUS-Go Local,Theta,5,n_points,12.0,12.0,0.0,True
AUS-Go Local,XGBoost,5,n_points,12.0,12.0,0.0,True
APC-Dedicated,ARIMA_Fixed,30,n_points,12.0,12.0,0.0,True
APC-Dedicated,AutoARIMA,30,n_points,12.0,12.0,0.0,True
APC-Dedicated,ETS Explicit,30,n_points,12.0,12.0,0.0,True
APC-Dedicated,ETS_Current,30,n_points,12.0,12.0,0.0,True
APC-Dedicated,FixedGrowth_1_5,30,n_points,12.0,12.0,0.0,True
APC-Dedicated,FixedGrowth_3,30,n_points,12.0,12.0,0.0,True
APC-Dedicated,FixedGrowth_4,30,n_points,12.0,12.0,0.0,True
APC-Dedicated,FixedGrowth_6,30,n_points,12.0,12.0,0.0,True
APC-Dedicated,FNAR-V2,30,n_points,12.0,12.0,0.0,True
APC-Dedicated,LightGBM,30,n_points,12.0,12.0,0.0,True
APC-Dedicated,LinearRegression,30,n_points,12.0,12.0,0.0,True
APC-Dedicated,NLIN-DLIN_FIXED,30,n_points,12.0,12.0,0.0,True
APC-Dedicated,SMLP-TCN,30,n_points,12.0,12.0,0.0,True
APC-Dedicated,Theta,30,n_points,12.0,12.0,0.0,True
APC-Dedicated,XGBoost,30,n_points,12.0,12.0,0.0,True
APC-MSIT,ARIMA_Fixed,30,n_points,12.0,12.0,0.0,True
APC-MSIT,AutoARIMA,30,n_points,12.0,12.0,0.0,True
APC-MSIT,ETS Explicit,30,n_points,12.0,12.0,0.0,True
APC-MSIT,ETS_Current,30,n_points,12.0,12.0,0.0,True
APC-MSIT,FixedGrowth_1_5,30,n_points,12.0,12.0,0.0,True
APC-MSIT,FixedGrowth_3,30,n_points,12.0,12.0,0.0,True
APC-MSIT,FixedGrowth_4,30,n_points,12.0,12.0,0.0,True
APC-MSIT,FixedGrowth_6,30,n_points,12.0,12.0,0.0,True
APC-MSIT,FNAR-V2,30,n_points,12.0,12.0,0.0,True
APC-MSIT,LightGBM,30,n_points,12.0,12.0,0.0,True
APC-MSIT,LinearRegression,30,n_points,12.0,12.0,0.0,True
APC-MSIT,NLIN-DLIN_FIXED,30,n_points,12.0,12.0,0.0,True
APC-MSIT,SMLP-TCN,30,n_points,12.0,12.0,0.0,True
APC-MSIT,Theta,30,n_points,12.0,12.0,0.0,True
APC-MSIT,XGBoost,30,n_points,12.0,12.0,0.0,True
APC-Multitenant,ARIMA_Fixed,30,n_points,12.0,12.0,0.0,True
APC-Multitenant,AutoARIMA,30,n_points,12.0,12.0,0.0,True
APC-Multitenant,ETS Explicit,30,n_points,12.0,12.0,0.0,True
APC-Multitenant,ETS_Current,30,n_points,12.0,12.0,0.0,True
APC-Multitenant,FixedGrowth_1_5,30,n_points,12.0,12.0,0.0,True
APC-Multitenant,FixedGrowth_3,30,n_points,12.0,12.0,0.0,True
APC-Multitenant,FixedGrowth_4,30,n_points,12.0,12.0,0.0,True
APC-Multitenant,FixedGrowth_6,30,n_points,12.0,12.0,0.0,True
APC-Multitenant,FNAR-V2,30,n_points,12.0,12.0,0.0,True
APC-Multitenant,LightGBM,30,n_points,12.0,12.0,0.0,True
APC-Multitenant,LinearRegression,30,n_points,12.0,12.0,0.0,True
APC-Multitenant,NLIN-DLIN_FIXED,30,n_points,12.0,12.0,0.0,True
APC-Multitenant,SMLP-TCN,30,n_points,12.0,12.0,0.0,True
APC-Multitenant,Theta,30,n_points,12.0,12.0,0.0,True
APC-Multitenant,XGBoost,30,n_points,12.0,12.0,0.0,True
ARE-Go Local,ARIMA_Fixed,30,n_points,12.0,12.0,0.0,True
ARE-Go Local,AutoARIMA,30,n_points,12.0,12.0,0.0,True
ARE-Go Local,ETS Explicit,30,n_points,12.0,12.0,0.0,True
ARE-Go Local,ETS_Current,30,n_points,12.0,12.0,0.0,True
ARE-Go Local,FixedGrowth_1_5,30,n_points,12.0,12.0,0.0,True
ARE-Go Local,FixedGrowth_3,30,n_points,12.0,12.0,0.0,True
ARE-Go Local,FixedGrowth_4,30,n_points,12.0,12.0,0.0,True
ARE-Go Local,FixedGrowth_6,30,n_points,12.0,12.0,0.0,True
ARE-Go Local,FNAR-V2,30,n_points,12.0,12.0,0.0,True
ARE-Go Local,LightGBM,30,n_points,12.0,12.0,0.0,True
ARE-Go Local,LinearRegression,30,n_points,12.0,12.0,0.0,True
ARE-Go Local,NLIN-DLIN_FIXED,30,n_points,12.0,12.0,0.0,True
ARE-Go Local,SMLP-TCN,30,n_points,12.0,12.0,0.0,True
ARE-Go Local,Theta,30,n_points,12.0,12.0,0.0,True
ARE-Go Local,XGBoost,30,n_points,12.0,12.0,0.0,True
AUS-Go Local,ARIMA_Fixed,30,n_points,12.0,12.0,0.0,True
AUS-Go Local,AutoARIMA,30,n_points,12.0,12.0,0.0,True
AUS-Go Local,ETS Explicit,30,n_points,12.0,12.0,0.0,True
AUS-Go Local,ETS_Current,30,n_points,12.0,12.0,0.0,True
AUS-Go Local,FixedGrowth_1_5,30,n_points,12.0,12.0,0.0,True
AUS-Go Local,FixedGrowth_3,30,n_points,12.0,12.0,0.0,True
AUS-Go Local,FixedGrowth_4,30,n_points,12.0,12.0,0.0,True
AUS-Go Local,FixedGrowth_6,30,n_points,12.0,12.0,0.0,True
AUS-Go Local,FNAR-V2,30,n_points,12.0,12.0,0.0,True
AUS-Go Local,LightGBM,30,n_points,12.0,12.0,0.0,True
AUS-Go Local,LinearRegression,30,n_points,12.0,12.0,0.0,True
AUS-Go Local,NLIN-DLIN_FIXED,30,n_points,12.0,12.0,0.0,True
AUS-Go Local,SMLP-TCN,30,n_points,12.0,12.0,0.0,True
AUS-Go Local,Theta,30,n_points,12.0,12.0,0.0,True
AUS-Go Local,XGBoost,30,n_points,12.0,12.0,0.0,True
APC-Dedicated,ARIMA_Fixed,5,MAE,31.2506515833336,31.25065158333359,1.0658141036401503e-14,True
APC-Dedicated,AutoARIMA,5,MAE,83.34500667095,83.34500667094996,4.263256414560601e-14,True
APC-Dedicated,ETS Explicit,5,MAE,92.3534440694432,92.35344406944324,4.263256414560601e-14,True
APC-Dedicated,ETS_Current,5,MAE,67.7403948329554,67.7403948329554,0.0,True
APC-Dedicated,FixedGrowth_1_5,5,MAE,12.0615721249999,12.061572124999946,4.618527782440651e-14,True
APC-Dedicated,FixedGrowth_3,5,MAE,14.9591046425,14.959104642499993,7.105427357601002e-15,True
APC-Dedicated,FixedGrowth_4,5,MAE,16.8913267177778,16.89132671777775,4.973799150320701e-14,True
APC-Dedicated,FixedGrowth_6,5,MAE,20.7557708683333,20.75577086833329,1.0658141036401503e-14,True
APC-Dedicated,FNAR-V2,5,MAE,163.1528265,163.1528265,0.0,True
APC-Dedicated,LightGBM,5,MAE,18.4254431022336,18.4254431022336,0.0,True
APC-Dedicated,LinearRegression,5,MAE,77.1881156429524,77.18811564295237,2.842170943040401e-14,True
APC-Dedicated,NLIN-DLIN_FIXED,5,MAE,14.0962745,14.096274499999964,3.552713678800501e-14,True
APC-Dedicated,SMLP-TCN,5,MAE,82.45232,82.45232,0.0,True
APC-Dedicated,Theta,5,MAE,15.3615484105042,15.361548410504204,3.552713678800501e-15,True
APC-Dedicated,XGBoost,5,MAE,15.3600875597941,15.360087559794076,2.3092638912203256e-14,True
APC-MSIT,ARIMA_Fixed,5,MAE,11.2786039166674,11.27860391666733,6.927791673660977e-14,True
APC-MSIT,AutoARIMA,5,MAE,31.6902166862084,31.690216686208373,2.842170943040401e-14,True
APC-MSIT,ETS Explicit,5,MAE,20.9012571348392,20.901257134839245,4.618527782440651e-14,True
APC-MSIT,ETS_Current,5,MAE,28.8957078493927,28.89570784939265,4.973799150320701e-14,True
APC-MSIT,FixedGrowth_1_5,5,MAE,22.4541512354166,22.45415123541655,4.973799150320701e-14,True
APC-MSIT,FixedGrowth_3,5,MAE,25.5932051633332,25.59320516333325,4.973799150320701e-14,True
APC-MSIT,FixedGrowth_4,5,MAE,28.2860624955553,28.28606249555533,3.197442310920451e-14,True
APC-MSIT,FixedGrowth_6,5,MAE,33.6717771599999,33.67177715999992,2.1316282072803006e-14,True
APC-MSIT,FNAR-V2,5,MAE,73.9968355833334,73.99683558333338,1.4210854715202004e-14,True
APC-MSIT,LightGBM,5,MAE,25.3818535289583,25.38185352895827,2.842170943040401e-14,True
APC-MSIT,LinearRegression,5,MAE,32.1644227870856,32.16442278708556,3.552713678800501e-14,True
APC-MSIT,NLIN-DLIN_FIXED,5,MAE,52.3816395833333,52.38163958333333,2.842170943040401e-14,True
APC-MSIT,SMLP-TCN,5,MAE,69.0279357500001,69.02793575000008,1.4210854715202004e-14,True
APC-MSIT,Theta,5,MAE,117.203658077978,117.2036580779784,3.979039320256561e-13,True
APC-MSIT,XGBoost,5,MAE,35.2964492630207,35.29644926302069,7.105427357601002e-15,True
APC-Multitenant,ARIMA_Fixed,5,MAE,68068.7772930833,68068.77729308327,2.9103830456733704e-11,True
APC-Multitenant,AutoARIMA,5,MAE,11476.3271667967,11476.327166796653,4.729372449219227e-11,True
APC-Multitenant,ETS Explicit,5,MAE,10386.5971346663,10386.597134666275,2.3646862246096134e-11,True
APC-Multitenant,ETS_Current,5,MAE,19539.531336783,19539.53133678301,1.0913936421275139e-11,True
APC-Multitenant,FixedGrowth_1_5,5,MAE,10242.4080365444,10242.40803654436,4.001776687800884e-11,True
APC-Multitenant,FixedGrowth_3,5,MAE,10445.0881258321,10445.088125832051,4.9112713895738125e-11,True
APC-Multitenant,FixedGrowth_4,5,MAE,11067.6437883872,11067.643788387208,7.275957614183426e-12,True
APC-Multitenant,FixedGrowth_6,5,MAE,12539.1564940025,12539.156494002484,1.6370904631912708e-11,True
APC-Multitenant,FNAR-V2,5,MAE,317983.448986333,317983.44898633333,3.4924596548080444e-10,True
APC-Multitenant,LightGBM,5,MAE,14844.3529278021,14844.352927802072,2.7284841053187847e-11,True
APC-Multitenant,LinearRegression,5,MAE,14755.6494434119,14755.649443411874,2.546585164964199e-11,True
APC-Multitenant,NLIN-DLIN_FIXED,5,MAE,5802.01329266665,5802.013292666646,4.547473508864641e-12,True
APC-Multitenant,SMLP-TCN,5,MAE,17240.6442061667,17240.64420616668,2.1827872842550278e-11,True
APC-Multitenant,Theta,5,MAE,10683.8435846837,10683.843584683724,2.3646862246096134e-11,True
APC-Multitenant,XGBoost,5,MAE,8180.61095608333,8180.610956083333,2.7284841053187847e-12,True
ARE-Go Local,ARIMA_Fixed,5,MAE,806.82469425002,806.8246942500197,3.410605131648481e-13,True
ARE-Go Local,AutoARIMA,5,MAE,250.419590868067,250.41959086806733,3.410605131648481e-13,True
ARE-Go Local,ETS Explicit,5,MAE,265.507278342353,265.50727834235295,5.684341886080802e-14,True
ARE-Go Local,ETS_Current,5,MAE,429.204845853998,429.20484585399817,1.7053025658242404e-13,True
ARE-Go Local,FixedGrowth_1_5,5,MAE,319.188955221245,319.1889552212451,1.1368683772161603e-13,True
ARE-Go Local,FixedGrowth_3,5,MAE,345.193200044168,345.1932000441678,2.2737367544323206e-13,True
ARE-Go Local,FixedGrowth_4,5,MAE,396.296254782223,396.2962547822226,3.979039320256561e-13,True
ARE-Go Local,FixedGrowth_6,5,MAE,531.814703555003,531.8147035550028,2.2737367544323206e-13,True
ARE-Go Local,FNAR-V2,5,MAE,9603.49905683333,9603.49905683333,0.0,True
ARE-Go Local,LightGBM,5,MAE,531.068512302279,531.0685123022795,4.547473508864641e-13,True
ARE-Go Local,LinearRegression,5,MAE,464.148967051346,464.1489670513456,3.979039320256561e-13,True
ARE-Go Local,NLIN-DLIN_FIXED,5,MAE,644.181842833332,644.1818428333323,3.410605131648481e-13,True
ARE-Go Local,SMLP-TCN,5,MAE,1100.54983591666,1100.549835916665,5.002220859751105e-12,True
ARE-Go Local,Theta,5,MAE,329.780531528722,329.7805315287217,2.8421709430404007e-13,True
ARE-Go Local,XGBoost,5,MAE,392.467057249999,392.4670572499993,2.8421709430404007e-13,True
AUS-Go Local,ARIMA_Fixed,5,MAE,120287.310059083,120287.31005908326,2.6193447411060333e-10,True
AUS-Go Local,AutoARIMA,5,MAE,17116.3700327849,17116.370032784926,2.546585164964199e-11,True
AUS-Go Local,ETS Explicit,5,MAE,17257.1805056306,17257.180505630586,1.4551915228366852e-11,True
AUS-Go Local,ETS_Current,5,MAE,29934.4100740225,29934.410074022468,3.2741809263825417e-11,True
AUS-Go Local,FixedGrowth_1_5,5,MAE,17348.6509654721,17348.650965472083,1.8189894035458565e-11,True
AUS-Go Local,FixedGrowth_3,5,MAE,17851.9684447775,17851.96844477749,1.0913936421275139e-11,True
AUS-Go Local,FixedGrowth_4,5,MAE,18187.5134309811,18187.5134309811,0.0,True
AUS-Go Local,FixedGrowth_6,5,MAE,18858.6034033883,18858.60340338832,1.8189894035458565e-11,True
AUS-Go Local,FNAR-V2,5,MAE,11403805.2306149,11403805.230614914,1.30385160446167e-08,True
AUS-Go Local,LightGBM,5,MAE,12556.9414512352,12556.941451235216,1.6370904631912708e-11,True
AUS-Go Local,LinearRegression,5,MAE,16209.4951960951,16209.4951960951,0.0,True
AUS-Go Local,NLIN-DLIN_FIXED,5,MAE,15693.8779105,15693.8779105,0.0,True
AUS-Go Local,SMLP-TCN,5,MAE,27505.9140815,27505.914081500003,3.637978807091713e-12,True
AUS-Go Local,Theta,5,MAE,19002.6554908402,19002.655490840185,1.4551915228366852e-11,True
AUS-Go Local,XGBoost,5,MAE,1252.891449,1252.8914489999977,2.2737367544323206e-12,True
APC-Dedicated,ARIMA_Fixed,30,MAE,359.518988416667,359.5189884166667,3.410605131648481e-13,True
APC-Dedicated,AutoARIMA,30,MAE,653.982883571001,653.9828835710013,2.2737367544323206e-13,True
APC-Dedicated,ETS Explicit,30,MAE,706.221118352925,706.2211183529254,3.410605131648481e-13,True
APC-Dedicated,ETS_Current,30,MAE,573.155727775994,573.155727775994,0.0,True
APC-Dedicated,FixedGrowth_1_5,30,MAE,217.2176025,217.21760250000003,2.842170943040401e-14,True
APC-Dedicated,FixedGrowth_3,30,MAE,234.597768938333,234.59776893833327,2.8421709430404007e-13,True
APC-Dedicated,FixedGrowth_4,30,MAE,246.19110139,246.19110139,0.0,True
APC-Dedicated,FixedGrowth_6,30,MAE,269.377766293333,269.37776629333337,3.410605131648481e-13,True
APC-Dedicated,FNAR-V2,30,MAE,488.983315666667,488.9833156666666,3.979039320256561e-13,True
APC-Dedicated,LightGBM,30,MAE,214.822171838528,214.822171838528,0.0,True
APC-Dedicated,LinearRegression,30,MAE,516.709690988206,516.709690988206,0.0,True
APC-Dedicated,NLIN-DLIN_FIXED,30,MAE,260.711386916667,260.71138691666664,3.410605131648481e-13,True
APC-Dedicated,SMLP-TCN,30,MAE,349.367641416667,349.3676414166667,3.410605131648481e-13,True
APC-Dedicated,Theta,30,MAE,217.714927376251,217.7149273762509,1.1368683772161603e-13,True
APC-Dedicated,XGBoost,30,MAE,213.186196725484,213.18619672548417,1.7053025658242404e-13,True
APC-MSIT,ARIMA_Fixed,30,MAE,110.705930166667,110.70593016666736,3.552713678800501e-13,True
APC-MSIT,AutoARIMA,30,MAE,91.5863780312882,91.58637803128823,2.842170943040401e-14,True
APC-MSIT,ETS Explicit,30,MAE,77.3440070045687,77.34400700456865,4.263256414560601e-14,True
APC-MSIT,ETS_Current,30,MAE,158.518389682769,158.51838968276874,2.5579538487363607e-13,True
APC-MSIT,FixedGrowth_1_5,30,MAE,81.3330653933333,81.33306539333334,4.263256414560601e-14,True
