entity_key,metric_rows,median_mase,mean_mase,p95_mase,created_timestamp
APC-Dedicated,84,1.22081487711699,7.179353825120491,51.09501194251654,2026-06-12T12:10:53
APC-MSIT,84,1.3817378140491665,2.461336557328648,9.291464105333011,2026-06-12T12:10:53
APC-Multitenant,84,0.873563997752147,1.2757429518603574,3.268424390966086,2026-06-12T12:10:53
ARE-Go Local,84,0.9310676503694151,1.7030536381031245,6.898727701761407,2026-06-12T12:10:53
AUS-Go Local,84,1.6826414239461802,3.655426524325271,15.694734269145039,2026-06-12T12:10:53
BRA-Go Local,84,0.6915822221813912,1.6031078477551093,5.565340286386746,2026-06-12T12:10:53
CAN-Go Local,84,1.533817765208462,3.2398582537897958,13.368263674786306,2026-06-12T12:10:53
CHE-Go Local,84,0.8414447631531314,1.6129629211113081,5.5293740519331855,2026-06-12T12:10:53
DEU-Go Local,84,0.5085251060057203,0.8956551077799653,2.2059637477675262,2026-06-12T12:10:53
ESP-Go Local,84,1.3739770241293154,4.9805100778806795,18.819549502223737,2026-06-12T12:10:53
EUR-Dedicated,84,1.544037028707351,2.7501916560018937,9.448312533378639,2026-06-12T12:10:53
EUR-MSIT,84,1.7078787576750363,3.6271144578683123,10.893965981339568,2026-06-12T12:10:53
EUR-Multitenant,84,0.9461814949283727,1.9547513975818536,4.67765490462488,2026-06-12T12:10:53
FRA-Go Local,84,1.7109307225046995,3.0870774773530134,8.494689312695067,2026-06-12T12:10:53
GBR-Dedicated,84,1.1202398022889484,4.37002085342592,20.080675696920398,2026-06-12T12:10:53
GBR-Go Local,84,1.0,2.0826646848953168,4.5876723041787155,2026-06-12T12:10:53
IND-Go Local,84,0.5489866966021785,1.5326330387093123,6.565422370737356,2026-06-12T12:10:53
ISR-Go Local,84,0.5430715174928165,0.8638724623456032,2.360033322260354,2026-06-12T12:10:53
ITA-Go Local,84,1.059605454637658,2.6713019335818484,8.674602245921392,2026-06-12T12:10:53
JPN-Go Local,84,0.8738600475224882,1.6439288353026889,5.284708844246617,2026-06-12T12:10:53
KOR-Go Local,84,0.9814402174792213,61329785.283725865,448996929.63191164,2026-06-12T12:10:53
LAM-Multitenant,84,0.8082915252528597,1.2259736622040134,3.260523678512016,2026-06-12T12:10:53
MEX-Go Local,84,0.5378256261607979,0.7371049217029243,1.1442000644045616,2026-06-12T12:10:53
NAM-Dedicated,84,1.6534089124549238,3.7347557349998803,13.23062060312232,2026-06-12T12:10:53
NAM-GCC Low,84,0.6398404747083284,1.3456826624619131,3.8237345564516096,2026-06-12T12:10:53
NAM-ITAR DoD,84,1.0345843339750491,3.1806280295820737,10.140733219741769,2026-06-12T12:10:53
NAM-ITAR GCCH,84,1.0,1.8440304858241665,3.317411902219395,2026-06-12T12:10:53
NAM-MSIT,84,0.9134035841715303,1.2599766865613364,3.3529753239294697,2026-06-12T12:10:53
NAM-Multitenant,84,0.9677750319948216,1.5741194565357217,4.27290016789581,2026-06-12T12:10:53
NAM-SDF,84,1.0795355847923824,1.7176652424180903,3.9195204379994246,2026-06-12T12:10:53
NAM-TDF,84,1.065834221549153,2.0041321165047448,4.578899993669596,2026-06-12T12:10:53
NOR-Go Local,84,1.833121622738493,3.7389746437027904,15.035941655747047,2026-06-12T12:10:53
NZL-Go Local,49,0.6794189685393974,1602985.529317536,10258570.229601681,2026-06-12T12:10:53
POL-Go Local,84,1.108512224747876,3.49239650522847,15.179297768606324,2026-06-12T12:10:53
QAT-Go Local,84,0.5747534004189074,0.9352183481949193,2.536618627038817,2026-06-12T12:10:53
SGP-Go Local,70,0.6532466152679041,25052591.625763748,118228018.98400007,2026-06-12T12:10:53
SWE-Go Local,84,0.9236993958331945,2.7087033916894434,8.571809879510587,2026-06-12T12:10:53
TWN-Go Local,49,0.9042773939089903,21465549.669247627,85629839.26553333,2026-06-12T12:10:53
ZAF-Go Local,70,0.9291224787498615,2.006770073856032,5.994606113351386,2026-06-12T12:10:53
